"year","name","percent","sex"
1880,"John",0.081541,"boy"
1880,"William",0.080511,"boy"
1880,"James",0.050057,"boy"
1880,"Charles",0.045167,"boy"
1880,"George",0.043292,"boy"
1880,"Frank",0.02738,"boy"
1880,"Joseph",0.022229,"boy"
1880,"Thomas",0.021401,"boy"
1880,"Henry",0.020641,"boy"
1880,"Robert",0.020404,"boy"
1880,"Edward",0.019965,"boy"
1880,"Harry",0.018175,"boy"
1880,"Walter",0.014822,"boy"
1880,"Arthur",0.013504,"boy"
1880,"Fred",0.013251,"boy"
1880,"Albert",0.012609,"boy"
1880,"Samuel",0.008648,"boy"
1880,"David",0.007339,"boy"
2008,"Elianna",0.000127,"girl"
